,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,42,STL,Tommy Polley,LB,23,2005,0,0,5,30,23,73,0,0,0,0,0,0,0,0,0,0,0,311,4,6,Florida St.,College Stats
2,43,JAX,Maurice Williams,T,22,2009,0,0,6,47,47,105,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,
2,44,CAR,Kris Jenkins,DT,22,2010,2,4,6,68,54,108,0,0,0,0,0,0,0,0,0,0,0,220,,24,Maryland,
2,45,WAS,Fred Smoot,DB,22,2009,0,0,7,40,34,129,0,0,0,0,0,0,0,0,0,0,0,390,21,,Mississippi St.,College Stats
2,46,BUF,Aaron Schobel,DE,24,2009,0,2,8,62,62,133,0,0,0,0,0,0,0,0,0,0,0,334,3,78,TCU,College Stats
2,47,SFO,Jamie Winborn,LB,22,2010,0,0,2,18,12,100,0,0,0,0,0,0,0,0,0,0,0,281,3,10,Vanderbilt,
2,48,NWE,Matt Light,T,23,2011,1,3,10,89,89,155,0,0,0,0,0,0,0,0,0,0,0,,,,Purdue,College Stats
2,49,NYJ,LaMont Jordan,RB,22,2009,0,0,2,30,11,114,0,2,0,0,1,897,3734,28,158,1301,3,2,,,Maryland,College Stats
2,50,DET,Dominic Raiola,C,22,2014,0,0,13,64,64,219,0,0,0,0,0,0,0,0,0,0,0,2,,,Nebraska,College Stats
2,51,DEN,Paul Toviessi,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats
2,52,MIA,Chris Chambers,WR,23,2010,0,1,8,58,41,153,0,0,0,0,0,44,373,0,540,7648,58,2,,,Wisconsin,College Stats
2,53,DAL,Quincy Carter,QB,23,2004,0,0,2,16,15,38,542,960,6337,32,37,152,518,3,0,0,0,,,,Georgia,College Stats
2,54,ARI,Michael Stone,DB,23,2006,0,0,0,4,2,52,0,0,0,0,0,0,0,0,0,0,0,62,,,Memphis,College Stats
2,55,PHI,Quinton Caver,LB,23,2005,0,0,0,5,1,53,0,0,0,0,0,0,0,0,0,0,0,56,,,Arkansas,College Stats
2,56,DAL,Tony Dixon,DB,22,2004,0,0,0,9,9,56,0,0,0,0,0,0,0,0,0,0,0,107,1,6,Alabama,College Stats
2,57,MIN,Willie Howard,DE,23,2001,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,10,,,Stanford,College Stats
2,58,BUF,Travis Henry,RB,22,2007,0,1,4,41,27,90,0,1,0,0,1,1488,6086,38,141,951,2,1,,,Tennessee,College Stats
2,59,OAK,Marques Tuiasosopo,QB,22,2008,0,0,0,1,1,13,49,90,554,2,7,17,79,0,0,0,0,,,,Washington,College Stats
2,60,TEN,Andre Dyson,DB,22,2007,0,0,5,31,21,96,0,0,0,0,0,0,0,0,0,0,0,282,22,1,Utah,College Stats
2,61,DET,Shaun Rogers,DT,22,2013,0,3,8,57,40,163,0,0,0,0,0,0,0,0,0,0,0,374,1,37.5,Texas,
2,62,BAL,Gary Baxter,DB,22,2006,0,0,3,20,16,62,0,0,0,0,0,0,0,0,0,0,0,252,8,3,Baylor,
3,63,PHI,Derrick Burgess,DE,23,2010,0,2,4,40,8,102,0,0,0,0,0,0,0,0,0,0,0,215,,52,Mississippi,College Stats
3,64,ARI,Adrian Wilson,DB,21,2012,1,5,11,68,68,181,0,0,0,0,0,0,0,0,0,0,0,730,27,25.5,North Carolina St.,College Stats
3,65,CLE,James Jackson,RB,25,2005,0,0,1,9,9,52,0,0,0,0,0,325,1082,5,32,232,0,4,,,Miami (FL),College Stats
3,66,CIN,Sean Brewer,TE,23,2003,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,,,San Jose St.,College Stats
3,67,SDG,Tay Cody,DB,23,2003,0,0,1,4,4,19,0,0,0,0,0,0,0,0,0,0,0,65,2,,Florida St.,College Stats
3,68,CHI,Mike Gandy,T,22,2009,0,0,7,42,8,108,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,
3,69,MIN,Eric Kelly,DB,24,2003,0,0,2,9,9,48,0,0,0,0,0,0,0,0,0,0,0,136,3,,Kentucky,College Stats
3,70,NOR,Sedrick Hodge,LB,22,2005,0,0,3,17,17,63,0,0,0,0,0,0,0,0,0,0,0,164,,1,North Carolina,
3,71,GNB,Bhawoh Jue,DB,22,2007,0,0,1,14,8,79,0,0,0,0,0,0,0,0,0,0,0,144,6,1.5,Penn St.,College Stats
3,72,GNB,Torrance Marshall,LB,24,2004,0,0,0,7,7,51,0,0,0,0,0,0,0,0,0,0,0,60,,1,Oklahoma,College Stats
3,73,JAX,Eric Westmoreland,LB,24,2004,0,0,0,5,4,44,0,0,0,0,0,0,0,0,0,0,0,63,,2,Tennessee,College Stats
3,74,CAR,Steve Smith Sr.,WR,22,2016,2,5,14,102,92,219,0,1,0,0,0,57,387,2,1031,14731,81,,,,Utah,College Stats
3,75,KAN,Eric Downing,DT,22,2004,0,0,1,7,7,45,0,0,0,0,0,0,0,0,0,0,0,36,,2,Syracuse,
3,76,BUF,Ron Edwards,DT,22,2012,0,0,6,37,10,139,0,0,0,0,0,0,0,0,0,0,0,146,,16.5,Texas A&M,
3,77,KAN,Snoop Minnis,WR,24,2002,0,0,1,5,5,15,0,0,0,0,0,0,0,0,34,515,1,,,,Florida St.,College Stats
3,78,NYG,Will Peterson,DB,22,2010,0,0,3,23,16,97,0,0,0,0,0,0,0,0,0,0,0,75,8,,Western Illinois,
3,79,NYJ,Kareem McKenzie,T,22,2011,0,0,10,62,24,161,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,
3,80,SFO,Kevan Barlow,RB,22,2006,0,0,2,36,33,84,0,0,0,0,0,1022,3984,30,144,1164,3,,,,Pittsburgh,College Stats
3,81,NOR,Kenny Smith,DT,23,2009,0,0,1,7,7,36,0,0,0,0,0,0,0,0,0,0,0,58,,4.5,Alabama,
3,82,SEA,Heath Evans,FB,22,2010,0,0,0,8,2,143,0,0,0,0,0,164,579,4,57,439,4,23,,,Auburn,College Stats
3,83,STL,Brian Allen,LB,23,2004,0,0,0,8,0,47,0,0,0,0,0,0,0,0,0,0,0,74,1,1,Florida St.,College Stats
3,84,TAM,Dwight Smith,DB,23,2008,0,0,5,34,18,117,0,0,0,0,0,0,0,0,0,0,0,405,22,2,Akron,College Stats
3,85,MIA,Travis Minor,RB,22,2008,0,0,0,10,10,118,0,0,0,0,0,307,1230,8,67,474,1,48,,,Florida St.,College Stats
3,86,NWE,Brock Williams,DB,22,2004,0,0,0,1,,12,0,0,0,0,0,0,0,0,0,0,0,10,,,Notre Dame,College Stats
3,87,DEN,Reggie Hayward,DE,22,2009,0,0,3,32,13,92,0,0,0,0,0,0,0,0,0,0,0,144,1,39.5,Iowa St.,
3,88,MIA,Morlon Greenwood,LB,23,2008,0,0,8,39,21,125,0,0,0,0,0,0,0,0,0,0,0,471,2,7,Syracuse,
3,89,OAK,DeLawrence Grant,DE,21,2005,0,0,2,12,12,49,0,0,0,0,0,0,0,0,0,0,0,45,,7,Oregon St.,College Stats
3,90,TEN,Shad Meier,TE,23,2005,0,0,0,3,3,53,0,0,0,0,0,0,0,0,42,334,3,2,,,Kansas St.,College Stats
3,91,IND,Cory Bird,DB,23,2004,0,0,0,6,6,45,0,0,0,0,0,0,0,0,0,0,0,90,,0.5,Virginia Tech,College Stats
3,92,BAL,Casey Rabach,C,23,2010,0,0,7,44,7,137,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
3,93,DAL,Willie Blade,DT,22,2004,0,0,1,8,7,20,0,0,0,0,0,0,0,0,0,0,0,17,,1,Mississippi St.,
3,94,JAX,James Boyd,DB,23,2002,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,11,,,Penn St.,College Stats
3,95,BUF,Jonas Jennings,T,23,2008,0,0,5,29,21,75,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,
4,96,NWE,Kenyatta Jones,T,22,2004,0,0,1,7,6,21,0,0,0,0,0,0,0,0,0,0,0,,,,South Florida,
4,97,CLE,Anthony Henry,DB,24,2009,0,0,5,38,19,132,0,0,0,0,0,0,0,0,0,0,0,429,31,2,South Florida,College Stats
4,98,ARI,Bill Gramatica,K,23,2004,0,0,0,7,7,34,0,0,0,0,0,0,0,0,0,0,0,2,,,South Florida,College Stats
4,99,ATL,Roberto Garza,G,22,2014,0,0,11,61,11,206,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M-Kingsville,
4,100,CIN,Rudi Johnson,RB,21,2008,0,1,5,46,45,95,0,0,0,0,0,1517,5979,49,113,676,2,,,,Auburn,College Stats
4,101,NYJ,Jamie Henderson,DB,22,2003,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,41,1,,Georgia,College Stats
4,102,ATL,Matt Stewart,LB,22,2006,0,0,4,26,19,93,0,0,0,0,0,0,0,0,0,0,0,243,1,8,Vanderbilt,College Stats
