Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
29,A.J. Feeley,MIA,27,QB,11,8,3/5/2000,191,356,53.7,1893,11,3.1,15,4.2,102,38,5.3,4,9.9,172.1,61.7,23,136,6.1,4.64,3.44,2,3
30,Jeff Garcia,CLE,34,QB,11,10,3/7/2000,144,252,57.1,1731,10,4,9,3.6,71,99,6.9,6.1,12,157.4,76.7,24,99,8.7,5.91,5.17,1,1
31,Patrick Ramsey,WAS,25,qb,9,7,3/4/2000,169,272,62.1,1665,10,3.7,11,4,89,51,6.1,5,9.9,185,74.8,23,137,7.8,5.18,4.18,,
32,Steve McNair,TEN,31,QB,8,8,3/5/2000,129,215,60,1343,8,3.7,9,4.2,76,37,6.2,5.1,10.4,167.9,73.1,13,95,5.7,5.47,4.4,1,1
33,Ken Dorsey,SFO,23,qb,8,7,1/6/2000,123,226,54.4,1231,6,2.7,9,4,60,59,5.4,4.2,10,153.9,62.4,13,94,5.4,4.76,3.56,0,1
34,Mark Brunell,WAS,34,QB,9,9,3/6/2000,118,237,49.8,1194,7,3,6,2.5,68,49,5,4.5,10.1,132.7,63.9,15,105,6,4.32,3.81,0,1
35,Jay Fiedler,MIA,33,qb,8,7,1/6/2000,101,190,53.2,1186,7,3.7,8,4.2,55,71,6.2,5.1,11.7,148.3,67.1,25,165,11.6,4.75,3.73,,
36,Eli Manning,NYG,23,qb,9,7,1/6/2000,95,197,48.2,1043,6,3,9,4.6,50,52,5.3,3.8,11,115.9,55.4,13,83,6.2,4.57,3.21,1,1
37,Chad Hutchinson,CHI,27,QB,5,5,1/4/2000,92,161,57.1,903,4,2.5,3,1.9,43,63,5.6,5.3,9.8,180.6,73.6,23,160,12.5,4.04,3.74,,
38,Kelly Holcomb,CLE,31,,4,2,1/1/2000,59,87,67.8,737,7,8,5,5.7,35,55,8.5,7.5,12.5,184.3,96.8,5,31,5.4,7.67,6.75,,
39,Craig Krenzel,CHI,23,qb,6,5,3/2/2000,59,127,46.5,718,3,2.4,6,4.7,31,49,5.7,4,12.2,119.7,52.5,23,158,15.3,3.73,2.33,1,1
