Player,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Seneca Wallace,305000.0,380000.0,800000.0,2195000.0,605000.0,1750000.0,1500000.0,3950000.0,457412.0,,,,,,,,,,,,
Kellen Clemens,550000.0,585000.0,1177500.0,1822500.0,680000.0,615000.0,,,,,,,,,,,,,,,
Josh Freeman,1380000.0,4875000.0,2270000.0,7915000.0,2000000.0,43824.0,,,,,,,,,,,,,,,
Luke McCown,340000.0,305000.0,425000.0,510000.0,605000.0,2500000.0,2500000.0,1800000.0,555000.0,635000.0,665000.0,1250000.0,,,,,,,,,
Vince Young,13140000.0,1500000.0,2160000.0,7500000.0,4000000.0,350000.0,,,,,,,,,,,,,,,
Byron Leftwich,8399000.0,430000.0,4710000.0,2350000.0,645000.0,2000000.0,1800000.0,1750000.0,890000.0,,,,,,,,,,,,
Tarvaris Jackson,360000.0,445000.0,535000.0,1176000.0,4000000.0,1950000.0,500000.0,840000.0,1250000.0,1503027.0,,,,,,,,,,,
Rex Grossman,2330000.0,465000.0,625000.0,2035000.0,2500000.0,620000.0,755000.0,1150000.0,1300000.0,960000.0,50000.0,,,,,,,,,,
Matt Flynn,4000000.0,294412.0,1078750.0,275294.0,,,,,,,,,,,,,,,,,
Colt McCoy,507750.0,637750.0,727750.0,1500000.0,635000.0,1500000.0,1800000.0,3600000.0,3600000.0,3375000.0,2250000.0,,,,,,,,,,
Geno Smith,912655.0,1140819.0,1368983.0,1597146.0,1087500.0,1000000.0,710000.0,887500.0,,,,,,,,,,,,,
J.P. Losman,4475000.0,993500.0,1800000.0,1900000.0,620000.0,630000.0,810000.0,,,,,,,,,,,,,,
Sage Rosenfels,400667.0,400667.0,400667.0,628000.0,630000.0,1750000.0,1750000.0,1750000.0,1750000.0,3000000.0,3000000.0,3000000.0,1500000.0,1500000.0,,,,,,,
Mike Glennon,564375.0,705469.0,846563.0,1830375.0,14000000.0,2000000.0,1865625.0,840625.0,,,,,,,,,,,,,
Tim Rattay,,,,,,,,,,,,,,,,,,,,,
Christian Ponder,1847036.0,2308795.0,2770554.0,3232313.0,800000.0,,,,,,,,,,,,,,,,
Quincy Carter,,,,,,,,,,,,,,,,,,,,,
Trent Edwards,916000.0,570000.0,570000.0,660000.0,660000.0,1358823.0,1358823.0,291176.0,291176.0,700000.0,700000.0,,,,,,,,,,
Drew Stanton,628000.0,785000.0,940000.0,1052000.0,900000.0,750000.0,1666666.0,2666666.0,3866668.0,2500000.0,4150000.0,2500000.0,3765625.0,,,,,,,,
Patrick Ramsey,430000.0,1016000.0,1602000.0,688000.0,2000000.0,2500000.0,87647.0,401765.0,177647.0,133235.0,133235.0,100000.0,,,,,,,,,
Bruce Gradkowski,1283333.0,1833333.0,1833334.0,,,,,,,,,,,,,,,,,,
Josh Johnson,457042.0,416375.0,501375.0,631375.0,41176.0,940000.0,335294.0,412941.0,600000.0,52941.0,148235.0,96000.0,,,,,,,,,
Brandon Weeden,1469745.0,1837181.0,570000.0,271765.0,1737500.0,634835.0,720000.0,,,,,,,,,,,,,,
Tim Tebow,1295000.0,2019375.0,2572500.0,,,,,,,,,,,,,,,,,,
Kevin Kolb,713500.0,860625.0,950625.0,6555625.0,4000000.0,10500000.0,2250000.0,,,,,,,,,,,,,,
Trevor Siemian,448196.0,538196.0,628196.0,1907000.0,2000000.0,24000.0,850000.0,,,,,,,,,,,,,,
Matt Leinart,10335000.0,735000.0,1110000.0,630000.0,3750000.0,750000.0,,,,,,,,,,,,,,,
JaMarcus Russell,2976320.0,4848625.0,13611455.0,,,,,,,,,,,,,,,,,,
Chris Redman,298000.0,375000.0,1318000.0,595000.0,3750000.0,1750000.0,3050000.0,,,,,,,,,,,,,,
Chris Weinke,750000.0,800000.0,1000000.0,1200000.0,2000000.0,105000.0,,,,,,,,,,,,,,,
Mike McMahon,,,,,,,,,,,,,,,,,,,,,
Tyler Thigpen,1000000.0,730000.0,,,,,,,,,,,,,,,,,,,
A.J. Feeley,319325.0,389000.0,3455000.0,1540000.0,190588.0,820000.0,3350000.0,795000.0,3250000.0,1700000.0,,,,,,,,,,,
Charlie Frye,350000.0,635000.0,1000000.0,620000.0,1226000.0,,,,,,,,,,,,,,,,
Dan Orlovsky,620000.0,635000.0,665000.0,680000.0,,,,,,,,,,,,,,,,,
Charlie Whitehurst,452000.0,537000.0,622000.0,712000.0,4000000.0,4000000.0,1250000.0,,,,,,,,,,,,,,
Brady Quinn,1147000.0,4625000.0,655000.0,700000.0,1063750.0,700000.0,1500000.0,65000.0,242823.0,228529.0,,,,,,,,,,,
Chris Simms,,,,,,,,,,,,,,,,,,,,,
T.J. Yates,421250.0,511250.0,601250.0,645000.0,399176.0,105882.0,410294.0,,,,,,,,,,,,,,
Isaiah Stanback,615000.0,,,,,,,,,,,,,,,,,,,,
Jimmy Clausen,642500.0,772500.0,862500.0,952500.0,645000.0,262941.0,,,,,,,,,,,,,,,
Brooks Bollinger,,,,,,,,,,,,,,,,,,,,,
Ryan Mallett,535969.0,669961.0,803953.0,776976.0,131471.0,1500000.0,2000000.0,,,,,,,,,,,,,,
John Skelton,,,,,,,,,,,,,,,,,,,,,
Troy Smith,390000.0,370000.0,460000.0,545000.0,,,,,,,,,,,,,,,,,
Brodie Croyle,945000.0,360000.0,445000.0,535000.0,1759000.0,,,,,,,,,,,,,,,,
Brett Hundley,490908.0,580908.0,670908.0,705000.0,1875000.0,887500.0,,,,,,,,,,,,,,,
Ken Dorsey,,,,,,,,,,,,,,,,,,,,,
J.T. O'Sullivan,,,,,,,,,,,,,,,,,,,,,
A.J. McCarron,369060.0,555413.0,645413.0,735413.0,900000.0,3000000.0,4000000.0,,,,,,,,,,,,,,
Jim Sorgi,291200.0,305000.0,380000.0,1850000.0,635000.0,1180000.0,545000.0,,,,,,,,,,,,,,
Andrew Walter,1215000.0,350000.0,485000.0,960000.0,,,,,,,,,,,,,,,,,
Zach Mettenberger,451279.0,541279.0,600000.0,,,,,,,,,,,,,,,,,,
Johnny Manziel,4738980.0,794936.0,2173997.0,,,,,,,,,,,,,,,,,,
Curtis Painter,630000.0,,,,,,,,,,,,,,,,,,,,
Sean Mannion,591449.0,738734.0,886486.0,1034227.0,735000.0,887500.0,,,,,,,,,,,,,,,
Tom Savage,495146.0,408146.0,675146.0,765146.0,207353.0,,,,,,,,,,,,,,,,
Marques Tuiasosopo,,,,,,,,,,,,,,,,,,,,,
Pat White,,,,,,,,,,,,,,,,,,,,,
Bryce Petty,573424.0,663424.0,753424.0,,,,,,,,,,,,,,,,,,
Ryan Lindley,416327.0,506327.0,234706.0,38824.0,,,,,,,,,,,,,,,,,
Spergon Wynn,,,,,,,,,,,,,,,,,,,,,
John Beck,175000.0,,,,,,,,,,,,,,,,,,,,
Drew Henson,,,,,,,,,,,,,,,,,,,,,
